Country,CountryCode,Year,GDP_growth,Tax_revenue_percent_GDP,Poverty_rate,Unemployment_rate,FDI_percent_GDP,Current_account_balance_percent_GDP,Urbanization_rate,Population_total,Population_growth_rate,Agriculture_value_added_percent_GDP,Industry_value_added_percent_GDP,Services_value_added_percent_GDP,Gini_index,Gross_capital_formation_percent_GDP,Trade_percent_GDP,R&D_expenditure_percent_GDP,School_enrollment_secondary,School_enrollment_tertiary,Adult_literacy_rate,Education_expenditure_percent_GDP,Pupil_teacher_ratio_primary,Access_to_electricity_percent,Internet_users_per_100,Mobile_subscriptions_per_100,Logistics_Performance_Index,Life_expectancy,Health_expenditure_percent_GDP,Under5_mortality_rate,Gov_Effectiveness,Control_Corruption,Reg_Quality,Rule_of_Law,Political_Stability,Voice_Accountability,Exports_percent_GDP,Patent_applications_residents
Latvia,LV,2015,3.78336712084972,16.3739257773551,1.0,9.873,3.08543258338884,-0.126358311809163,67.98,1977527,-0.818626340945853,3.55445018445087,19.7834567448988,64.1295120425511,34.2,24.1497367174547,126.380014406006,0.619400024414062,112.356651306152,74.2998809814453,,5.28251981735229,11.13249,100.0,79.2,130.949,,74.4804878048781,5.65211773,5.1,1.05340993404388,0.434054464101791,1.07482004165649,0.766673684120178,0.436310410499573,0.846579790115356,62.5955625575744,136.0
Latvia,LV,2016,2.55168601974034,17.2317291892857,1.0,9.643,1.23693505180815,1.75657365769608,68.021,1959537,-0.913885332226604,3.32532538955761,19.1654365749872,64.3727854982171,34.3,21.7559480147378,123.330518429659,0.435140013694763,111.296806335449,80.6048126220703,,4.65749979019165,11.3295,100.0,79.8,135.227,3.327107,74.580487804878,6.1332593,4.7,0.965538024902344,0.395586460828781,1.06869256496429,0.927819967269897,0.467219561338425,0.842499852180481,61.9284196446641,95.0
Latvia,LV,2017,3.39894872623931,17.2061420461167,1.0,8.715,4.04880019492546,1.53282603585066,68.075,1942248,-0.886215573292392,3.62476211824764,19.7767293914993,63.4246447186638,35.6,22.7120380081921,128.714003328884,0.511039972305298,110.723251342773,88.0574264526367,,4.36671018600464,11.53684,100.0,80.1,126.847,,74.6292682926829,5.96542788,4.5,0.865553975105286,0.500998258590698,1.1448187828064,0.900835394859314,0.452954679727554,0.797488391399384,64.1399542639756,90.0
Latvia,LV,2018,4.30971286294503,16.1995106602059,0.6,7.412,1.32076900628522,-0.384114199278583,68.142,1927174,-0.779138396192231,3.66104778019513,19.3453568005874,63.2634274962391,35.1,23.8742877736126,128.234095559822,0.638689994812012,109.155700683594,93.0244827270508,,4.24356985092163,,100.0,83.6,107.397,2.81,74.7829268292683,6.18867874,4.2,1.00028502941132,0.297239780426025,1.13444352149963,0.923180341720581,0.395444005727768,0.792210936546326,63.8698186932234,86.0
Latvia,LV,2019,0.675372771884227,16.1998506375401,0.3,6.312,3.37100266711483,-0.173662933662394,68.222,1913822,-0.695239140136066,3.85343444199836,19.5988527886207,63.0987194135787,34.5,23.3384745378809,125.29163170793,0.638469994068146,107.602462768555,94.8645324707031,,4.43584012985229,,100.0,86.1,108.222,,75.3878048780488,6.63697243,4.0,1.06574690341949,0.48045802116394,1.1824791431427,0.979084551334381,0.426870435476303,0.855535626411438,62.5368430163073,82.0
Latvia,LV,2020,-3.46922750780554,16.2818527296083,0.5,8.098,2.81413557812427,3.09270300452462,68.315,1900449,-0.701211570733301,4.0791819421756,20.3341837659978,62.3876227829268,35.7,22.1554259223647,123.88319804656,0.734390020370483,105.956283569336,94.5108337402344,,4.85059022903442,,100.0,88.9,107.902,,75.1853658536585,7.28520584,3.7,0.838092744350433,0.693109571933746,1.18040430545807,0.92213636636734,0.462181746959686,0.868685662746429,62.6592422617585,93.0
Latvia,LV,2021,6.94254173062592,16.4537367202272,0.5,7.513,9.77936027100747,-4.13643816293473,68.421,1884490,-0.843294678005026,4.20672251535361,21.0918306682746,61.6249417393174,34.3,25.7228281732445,136.796615414819,0.746219992637634,105.814010620117,93.4839324951172,99.8899993896484,4.61546993255615,,100.0,91.2,114.645,,72.9804878048781,9.10995388,3.5,0.832942485809326,0.720612168312073,1.21610343456268,0.949516475200653,0.673440217971802,0.89630264043808,66.8112769573847,104.0
Latvia,LV,2022,1.80677198008065,17.1496668598817,0.4,6.815,3.20240857817949,-5.47756954524715,68.54,1879383,-0.271369577775699,5.0780013947494,20.7229871183051,61.5469419046016,33.7,24.212312160705,159.84434485906,0.763819992542267,104.764526367188,91.3303680419922,,,,100.0,91.0,115.203,3.5,74.2780487804878,7.62168407,3.2,0.69153767824173,0.693807184696198,1.17088675498962,0.921031415462494,0.48640912771225,0.937443792819977,77.4780077659979,
Latvia,LV,2023,2.85421800106587,16.713241582113,,6.465,3.96754280783813,-3.90605236123054,68.671,1877445,-0.103172153311714,3.91326312003761,21.6890152266524,62.2427278391137,,24.5729966745749,136.632034970681,,,,,,,100.0,92.2,119.91,,75.6780487804878,,3.0,0.696560978889465,0.698113977909088,1.17222261428833,1.03986096382141,0.591089129447937,0.993027687072754,66.4606129012677,
Latvia,LV,2024,-0.44249112634327,,,6.72,2.95806950114187,-2.12143753524506,68.815,1862441,-0.802381703529138,4.09964706866637,19.8657429390106,63.1019577308098,,21.1505544564482,131.803776863673,,,,,,,,,,,,,,,,,,,,64.6217028148455,
